school,grade,number_candidates,score,subject,year,area
SOMALI BANTU SECONDARY,X,22,0,kiswahili,2019,kk
SOMALI BANTU SECONDARY,Y,0,0,kiswahili,2019,kk
SOMALI BANTU SECONDARY,U,0,0,kiswahili,2019,kk
SOMALI BANTU SECONDARY,P,0,0,kiswahili,2019,kk
SOMALI BANTU SECONDARY,W,0,0,kiswahili,2019,kk
KALOBEYEI SECONDARY,A,0,12,kiswahili,2019,kk
KALOBEYEI SECONDARY,A-,0,11,kiswahili,2019,kk
KALOBEYEI SECONDARY,B+,0,10,kiswahili,2019,kk
KALOBEYEI SECONDARY,B,0,9,kiswahili,2019,kk
KALOBEYEI SECONDARY,B-,0,8,kiswahili,2019,kk
KALOBEYEI SECONDARY,C+,0,7,kiswahili,2019,kk
KALOBEYEI SECONDARY,C,0,6,kiswahili,2019,kk
KALOBEYEI SECONDARY,C-,1,5,kiswahili,2019,kk
KALOBEYEI SECONDARY,D+,0,4,kiswahili,2019,kk
KALOBEYEI SECONDARY,D,1,3,kiswahili,2019,kk
KALOBEYEI SECONDARY,D-,16,2,kiswahili,2019,kk
KALOBEYEI SECONDARY,E,40,1,kiswahili,2019,kk
KALOBEYEI SECONDARY,X,0,0,kiswahili,2019,kk
KALOBEYEI SECONDARY,Y,0,0,kiswahili,2019,kk
KALOBEYEI SECONDARY,U,0,0,kiswahili,2019,kk
KALOBEYEI SECONDARY,P,0,0,kiswahili,2019,kk
KALOBEYEI SECONDARY,W,0,0,kiswahili,2019,kk
MORNEU SHEPPELL SECONDARY,A,2,12,maths,2019,kk
MORNEU SHEPPELL SECONDARY,A-,0,11,maths,2019,kk
MORNEU SHEPPELL SECONDARY,B+,1,10,maths,2019,kk
MORNEU SHEPPELL SECONDARY,B,4,9,maths,2019,kk
MORNEU SHEPPELL SECONDARY,B-,3,8,maths,2019,kk
MORNEU SHEPPELL SECONDARY,C+,1,7,maths,2019,kk
MORNEU SHEPPELL SECONDARY,C,5,6,maths,2019,kk
MORNEU SHEPPELL SECONDARY,C-,3,5,maths,2019,kk
MORNEU SHEPPELL SECONDARY,D+,3,4,maths,2019,kk
MORNEU SHEPPELL SECONDARY,D,10,3,maths,2019,kk
MORNEU SHEPPELL SECONDARY,D-,24,2,maths,2019,kk
MORNEU SHEPPELL SECONDARY,E,17,1,maths,2019,kk
MORNEU SHEPPELL SECONDARY,X,1,0,maths,2019,kk
MORNEU SHEPPELL SECONDARY,Y,0,0,maths,2019,kk
MORNEU SHEPPELL SECONDARY,U,0,0,maths,2019,kk
MORNEU SHEPPELL SECONDARY,P,0,0,maths,2019,kk
MORNEU SHEPPELL SECONDARY,W,0,0,maths,2019,kk
VISION SECONDARY,A,5,12,maths,2019,kk
VISION SECONDARY,A-,2,11,maths,2019,kk
VISION SECONDARY,B+,1,10,maths,2019,kk
VISION SECONDARY,B,3,9,maths,2019,kk
VISION SECONDARY,B-,5,8,maths,2019,kk
VISION SECONDARY,C+,4,7,maths,2019,kk
VISION SECONDARY,C,3,6,maths,2019,kk
VISION SECONDARY,C-,8,5,maths,2019,kk
VISION SECONDARY,D+,1,4,maths,2019,kk
VISION SECONDARY,D,48,3,maths,2019,kk
VISION SECONDARY,D-,95,2,maths,2019,kk
VISION SECONDARY,E,249,1,maths,2019,kk
VISION SECONDARY,X,5,0,maths,2019,kk
VISION SECONDARY,Y,0,0,maths,2019,kk
VISION SECONDARY,U,0,0,maths,2019,kk
VISION SECONDARY,P,0,0,maths,2019,kk
VISION SECONDARY,W,0,0,maths,2019,kk
